timestamp,actual_scaled,pred_scaled,pred_lower_scaled,pred_upper_scaled,actual_pm25,pred_pm25,pred_lower_pm25,pred_upper_pm25,residual_pm25
2025-09-18 13:00:00,-1.2755870571421282,-0.8406636474914507,-1.3143208823480825,-0.36700641263481903,3.6110000000000007,4.910074389290391,3.510189196657339,6.7444598804931,-1.2990743892903902
2025-09-18 14:00:00,-1.554263099665165,-1.27703324613103,-2.3341094159266005,-0.2199570763354597,2.933,3.6071958829969857,1.5202019702897949,7.422441595767657,-0.6741958829969859
2025-09-18 15:00:00,-2.102100469855019,-1.6277580883701683,-2.684834258165739,-0.5706819185745979,1.8769999999999998,2.7714457557133225,1.0630347104336515,5.894601926158661,-0.8944457557133227
2025-09-18 16:00:00,-1.84010581981528,-1.7990010978215507,-2.8560772676171213,-0.7419249280259803,2.3409999999999997,2.4203021665251256,0.8709541504139069,5.252674288008845,-0.0793021665251259
2025-09-18 17:00:00,-2.0299139657525487,-2.0755400579447425,-3.132616227740313,-1.018463888149172,1.9980000000000002,1.9209423512161643,0.597797197163952,4.33979170464945,0.07705764878383592
2025-09-18 18:00:00,-1.7621484217437875,-1.6864156237920556,-2.743491793587626,-0.6293394539964852,2.4930000000000003,2.6472817870524987,0.9951152456648882,5.66761705273404,-0.1542817870524984
2025-09-18 19:00:00,-1.702963044013647,-1.624627151311216,-2.681703321106786,-0.5675509815156456,2.613,2.778190774640684,1.0667243321519546,5.906932534498478,-0.165190774640684
2025-09-18 20:00:00,-1.5418328508222734,-1.4010978585426705,-2.4581740283382407,-0.34402168874710015,2.961,3.2922664743195247,1.3479310843957832,6.846717311683146,-0.33126647431952483
2025-09-18 21:00:00,-1.272549632674443,-1.3353772003358748,-2.392453370131445,-0.2783010305403044,3.6189999999999998,3.456314696552899,1.4376678056888545,7.146614821087782,0.16268530344710097
2025-09-18 22:00:00,-1.0495144556516292,-0.9435926117023072,-2.0006687814978776,0.11348355809326316,4.246000000000001,4.572903417630207,2.0484577886473967,9.187857157771102,-0.3269034176302057
2025-09-18 23:00:00,-1.000440699137893,-0.8355650780000456,-1.892641247795616,0.22151109179552475,4.394999999999999,4.927296492957112,2.2423158640099174,9.835725200434764,-0.532296492957113
