order,seasonal_order,trend,status,validation_MAE,validation_RMSE,validation_MAPE_pct,validation_SMAPE_pct,validation_R2,aic,bic,fit_seconds,error
"(1, 0, 1)","(1, 0, 1, 24)",c,ok,1.3354179417992593,2.043141300709609,19.120008722683423,17.95794273955481,0.7140077755707424,8522.00981862193,8623.740058167758,70.961,
"(2, 0, 1)","(1, 0, 1, 24)",c,ok,1.3368151202050944,2.0531853487581273,19.106461786774716,17.923099276584786,0.7111889981600549,8492.49376321206,8601.00601872761,102.407,
"(1, 0, 2)","(1, 0, 1, 24)",c,ok,1.3370337116469195,2.0552939898321774,19.10246855397254,17.91036819696312,0.7105954701911706,8497.26393454618,8605.773734379123,60.036,
"(1, 0, 1)","(1, 1, 1, 24)",c,ok,1.366144293334757,2.0813445099817205,19.343376363430327,18.36492834990067,0.703212665341101,8714.387784370627,8816.062673300145,325.608,
