timestamp,pm25,actual_scaled,pred,residual,actual_pm25,pred_pm25,residual_pm25
2025-09-18 17:00:00,-2.0299139657525487,-2.0299139657525487,-1.7556642145114911,-0.27424975124105755,1.9980000000000002,2.50595007232017,-0.50795007232017
2025-09-18 18:00:00,-1.7621484217437875,-1.7621484217437875,-1.299089515091778,-0.46305890665200944,2.4930000000000003,3.549565550965113,-1.0565655509651126
2025-09-18 19:00:00,-1.702963044013647,-1.702963044013647,-1.5007055966346128,-0.20225744737903417,2.613,3.055070666803033,-0.442070666803033
2025-09-18 20:00:00,-1.5418328508222734,-1.5418328508222734,-1.4195896160701387,-0.12224323475213472,2.961,3.247206789437535,-0.2862067894375353
2025-09-18 21:00:00,-1.272549632674443,-1.272549632674443,-1.2251547834642662,-0.04739484921017678,3.6189999999999998,3.7456422941864256,-0.1266422941864258
2025-09-18 22:00:00,-1.0495144556516292,-1.0495144556516292,-0.814441949582585,-0.23507250606904417,4.246000000000001,4.999183128476214,-0.7531831284762127
2025-09-18 23:00:00,-1.000440699137893,-1.000440699137893,-0.5232103286633283,-0.4772303704745646,4.394999999999999,6.083946205402942,-1.6889462054029432
2025-09-19 00:00:00,-1.196459348901712,-1.196459348901712,-0.8622657055200356,-0.33419364338167634,3.824,4.837659704729094,-1.0136597047290943
2025-09-19 01:00:00,-0.5415970528184447,-0.5415970528184447,-0.6226529528371817,0.08105590001873697,6.01,5.693109491231837,0.3168905087681626
2025-09-19 02:00:00,0.1861098642270041,0.1861098642270041,-0.34955571980492633,0.5356655840319304,9.619,6.821974054744693,2.7970259452553066
2025-09-19 03:00:00,0.0458304257177839,0.0458304257177839,0.30017442344876255,-0.25434399773097865,8.802000000000005,10.333265463801874,-1.5312654638018692
2025-09-19 04:00:00,-0.0472293431670971,-0.0472293431670971,0.0491521320328659,-0.096381475199963,8.295,8.820599469144925,-0.5255994691449253
2025-09-19 05:00:00,-0.8395001721463076,-0.8395001721463076,-0.0678380168285415,-0.771662155317766,4.914,8.186317188583281,-3.2723171885832816
2025-09-19 06:00:00,-0.9923398349584036,-0.9923398349584036,-0.7912941364033689,-0.20104569855503474,4.419999999999999,5.078961799372678,-0.6589617993726788
2025-09-19 07:00:00,-0.3997691591378071,-0.3997691591378071,-0.9234471891955851,0.523678030057778,6.600999999999998,4.637345529000582,1.9636544709994164
2025-09-19 08:00:00,0.0022106009121669,0.0022106009121669,-0.27797645571988316,0.28018705663205007,8.561,7.148124015317803,1.4128759846821968
2025-09-19 09:00:00,-0.7041322988630059,-0.7041322988630059,0.26918343667278183,-0.9733157355357878,5.389000000000001,10.134578945736207,-4.745578945736206
2025-09-19 10:00:00,-0.3761846120969799,-0.3761846120969799,-0.6154299269706823,0.23924531487370243,6.703999999999999,5.720756964137284,0.9832430358627144
2025-09-19 11:00:00,-0.0500592987771687,-0.0500592987771687,-0.2697933122654826,0.2197340134883139,8.280000000000001,7.186266168716488,1.0937338312835134
2025-09-19 12:00:00,-0.0253111641023955,-0.0253111641023955,-0.17608127879648167,0.15077011469408616,8.412000000000003,7.636003946880933,0.7759960531190693
2025-09-19 13:00:00,-0.9756090582582996,-0.9756090582582996,-0.1740994759945364,-0.8015095822637632,4.471999999999999,7.645777034588814,-3.1737770345888157
2025-09-19 14:00:00,-1.4805436694097978,-1.4805436694097978,-1.012768642957479,-0.46777502645231883,3.102000000000001,4.35717594163111,-1.2551759416311086
2025-09-19 15:00:00,-1.880424961394603,-1.880424961394603,-1.6232716595037726,-0.2571533018908303,2.2650000000000006,2.7811146689970268,-0.5161146689970262
2025-09-19 16:00:00,-1.454257849664055,-1.454257849664055,-1.388879508060404,-0.06537834160365108,3.1639999999999997,3.322301445950016,-0.15830144595001627
