datetime,date,hour_sin,hour_cos,month_sin,month_cos,pollution_stagnation_index,wind_x_vector,wind_y_vector,total_generation_mw,temperature_2m (°C),rain (mm),relative_humidity_2m (%),wind_direction_10m (°),wind_speed_10m (km/h),pm25,timestamp,anomaly,anomaly_score,anomaly_severity,anomaly_label,pm25_real,total_generation_mw_real
2025-07-01 15:00:00,2025-07-01,-1.0074109701638494,-1.008042212721753,-0.5336395483211969,-0.8149731287054848,-1.4008041654348533,1.4275585619104074,2.037075131955825,-0.4752427656099749,1.6803788533512518,-0.243459717101822,-1.793110096348106,-0.7688769206040406,1.9152670999651824,-1.1968226149548464,2025-07-01 15:00:00,1,0.03815006363305784,-0.03815006363305784,Normal,3.8230000000000004,487.616
2025-07-01 16:00:00,2025-07-01,-1.2326182673318888,-0.715729106114329,-0.5336395483211969,-0.8149731287054848,-1.5167862551597402,1.7289885215815672,2.1015861534579545,-0.4947477107506481,1.6332736463547526,-0.243459717101822,-1.793110096348106,-0.8103350407574657,2.252142158234899,-1.277107746151458,2025-07-01 16:00:00,1,0.024359854459551467,-0.024359854459551467,Normal,3.607,484.8
2025-07-01 17:00:00,2025-07-01,-1.3741894927202432,-0.3753232836843744,-0.5336395483211969,-0.8149731287054848,-1.5791299267877743,1.9852269965304803,2.058649273034763,-0.4753535891619103,1.5037343271143806,-0.243459717101822,-1.6184519046998591,-0.8517931609108907,2.482635619156284,-1.659850086681678,2025-07-01 17:00:00,1,0.005515372576575861,-0.005515372576575861,Normal,2.703,487.6
2025-07-01 18:00:00,2025-07-01,-1.422476801276207,-0.0100228396832731,-0.5336395483211969,-0.8149731287054848,-1.595039620231466,1.9972860485163264,1.987732315544116,-0.5510460751339554,1.3506424043757586,-0.243459717101822,-1.3564646172274897,-0.862157690949247,2.44717508670684,-1.3323579575053233,2025-07-01 18:00:00,1,0.021300213566166515,-0.021300213566166515,Normal,3.4640000000000004,476.672
2025-07-01 19:00:00,2025-07-01,-1.3741894927202432,0.3552776043178283,-0.5336395483211969,-0.8149731287054848,-1.4994224556187756,1.8937277809911,1.72672247589089,-0.5245592462213367,1.1857741798880124,-0.243459717101822,-1.1818064255792429,-0.8828867510259596,2.1634908271112896,-0.9590365233590936,2025-07-01 19:00:00,1,0.04763235595914106,-0.04763235595914106,Normal,4.524000000000002,480.496
2025-07-01 20:00:00,2025-07-01,-1.232618267331889,0.6956834267477828,-0.5336395483211969,-0.8149731287054848,-1.2963592460319415,1.5881963259820613,1.3067450479477298,-0.5419585438752329,1.009129653651141,-0.243459717101822,-1.007148233930996,-0.903615811102672,1.5606617754707446,-0.5887173951138247,2025-07-01 20:00:00,1,0.08759347529467676,-0.08759347529467676,Normal,5.824,477.984
2025-07-01 21:00:00,2025-07-01,-1.0074109701638505,0.9879965333552064,-0.5336395483211969,-0.8149731287054848,-1.047240418964132,1.2491937820138304,1.0022887180715725,-0.516247479826163,0.8324851274142697,-0.243459717101822,-0.8324900422827495,-0.903615811102672,0.9932932562796438,-0.6171924667537622,2025-07-01 21:00:00,1,0.10890041728152156,-0.10890041728152156,Normal,5.714,481.696
2025-07-01 22:00:00,2025-07-01,-0.7139151063454726,1.2122962689950538,-0.5336395483211969,-0.8149731287054848,-0.4552034955926292,0.727507519821333,0.3538479336386205,-0.4982940644125888,0.7264984116721467,-0.243459717101822,-0.7451609464586262,-0.9658029913328096,0.018128613919939,-0.5279029498584382,2025-07-01 22:00:00,1,0.13506964491377038,-0.13506964491377038,Normal,6.0649999999999995,484.288
2025-07-01 23:00:00,2025-07-01,-0.3721319339711308,1.3532969773563082,-0.5336395483211969,-0.8149731287054848,-0.1910661172946158,0.4864380580853115,0.3172619758502184,-0.4943044165429058,0.6205116959300241,-0.243459717101822,-0.7451609464586262,-0.903615811102672,-0.2832859119003333,-0.4809199578164295,2025-07-01 23:00:00,1,0.13125489107335858,-0.13125489107335858,Normal,6.257000000000001,484.864
2025-07-02 00:00:00,2025-07-02,-0.0053534114147367,1.4013896931788383,-0.5336395483211969,-0.8149731287054848,-0.4156637030138613,0.6002556561986361,0.5367225603431174,-0.4657119401435092,0.514524980187901,-0.243459717101822,-0.7888254943706878,-0.862157690949247,-0.0173319185295045,-0.5769455040646456,2025-07-02 00:00:00,1,0.12981264628943806,-0.12981264628943806,Normal,5.87,488.992
