fold,start,end,MAE,RMSE,MAPE_pct,SMAPE_pct,R2,n_eval_points
1,2024-05-26 17:00:00,2024-08-04 04:00:00,1.863845064129845,2.7602179844573405,20.017309545952024,20.41359797842926,0.64455832713384,1553
2,2024-08-04 05:00:00,2025-04-08 01:00:00,3.685650093451617,6.4210918975052556,24.745211729823033,24.36691578859294,0.6158841848627136,1553
3,2025-04-08 02:00:00,2025-07-04 11:00:00,1.41827439937392,2.139858349510545,17.914624191772095,17.037756155621693,0.7646304942180794,1553
4,2025-07-04 12:00:00,2025-09-12 06:00:00,1.253353064148605,1.964757503527882,17.487941468980274,16.24029932477368,0.7387033495778739,1553
5,2025-09-12 07:00:00,2025-11-27 19:00:00,2.5257733260616484,4.146944535672771,22.294041967630516,20.72716740923705,0.8213962377931192,1553
