candidate,iterations,learning_rate,depth,l2_leaf_reg,random_strength,bagging_temperature,early_stopping_rounds,best_iteration,validation_MAE,validation_RMSE,validation_MAPE_pct,validation_SMAPE_pct,validation_R2,validation_n_eval_points,test_MAE,test_RMSE,test_MAPE_pct,test_SMAPE_pct,test_R2,test_n_eval_points
phase2_reference,600,0.03,6,3,1.0,1.0,50,595,1.215952682932125,1.9520033595589161,17.3064069969127,16.09099241692528,0.7406007406616668,1398,2.6918187814702006,4.3210347156378575,23.48604068314803,21.53820585772089,0.814747454344894,1399
regularized_depth5,900,0.025,5,5,1.0,0.5,80,899,1.213169294034355,1.9529551170050765,17.111254173103106,16.02707900776418,0.7403477233054112,1398,2.723057962613878,4.353107861199062,23.38773743019694,21.69303000482659,0.8119871511682013,1399
slow_regularized_depth5,1200,0.02,5,7,1.5,0.7,100,1155,1.2152415453822192,1.9527275039404748,17.160971416073455,16.035626077346887,0.7404082436992554,1398,2.698072679155923,4.30264887889138,23.206249658462834,21.60632045020921,0.8163205853361044,1399
compact_depth4,900,0.03,4,5,1.0,0.5,80,897,1.2197436029257007,1.9683880146474197,17.19120840920832,16.08721068610634,0.7362277924040435,1398,2.717401349783621,4.350658341242293,23.2318092296504,21.737369099237775,0.8121986835562629,1399
strong_regularized_depth6,1200,0.02,6,10,2.0,0.8,100,1137,1.2200447649240573,1.9457960985952483,17.312893636888383,16.149297816484783,0.7422478677336872,1398,2.6794174544321403,4.300208620236619,23.360313537942545,21.465331820660136,0.8165288747819193,1399
compact_strong_regularization,1200,0.02,4,10,2.0,0.8,100,1193,1.2292286932500947,1.970254349222644,17.382790505983838,16.222690175590202,0.7357273620322469,1398,2.703281107806293,4.328232094009368,23.36637216463626,21.64768091736109,0.8141298045488632,1399
best_validation_candidate,1500,0.015,5,12,2.0,0.8,120,1499,1.2132946121187795,1.949362780706689,17.153075223886322,16.011612684228925,0.7413020723488012,1398,2.6777754686166495,4.28647495961724,23.184142332863455,21.419255306857043,0.8176989140677027,1399
