datetime,date,hour,interval_start,A3_MW,A4_MW,A5_MW,B1_MW,B2_MW,total_generation_mw,co,no2,o3,pm10,pm25,so2,temperature_2m (°C),rain (mm),snowfall (cm),relative_humidity_2m (%),wind_direction_10m (°),wind_speed_10m (km/h)
2025-05-16 07:00:00,2025-05-16,7,2025-05-16 06:00:00,113.344,0.0,0.0,249.2,0.0,362.544,461.87,15.258,57.089,2.116,2.244,12.584,6.8,2.2,0.0,93,41,19.4
2025-11-04 04:00:00,2025-11-04,4,2025-11-04 03:00:00,0.0,111.056,129.36,244.8,271.2,756.4159999999999,520.81,6.436,51.716,1.114,1.724,28.595,6.7,0.5,0.0,94,45,9.4
