,hour,A3_MW,A4_MW,A5_MW,B1_MW,B2_MW,total_generation_mw,co,no2,o3,pm10,pm25,so2,temperature_2m (°C),rain (mm),snowfall (cm),relative_humidity_2m (%),wind_direction_10m (°),wind_speed_10m (km/h)
count,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0,9370.0
mean,11.458911419423693,74.92015368196371,62.36314791889007,79.3317173959445,193.46917822838847,145.86896478121662,555.9531620064034,304.2435651013874,24.786638207043755,45.02189839914622,17.34094215581644,10.399586766275347,17.72338303094984,16.533788687299893,0.05607257203842049,0.002756670224119531,61.081856990394876,122.10811099252935,8.412145144076842
std,6.95582236065878,58.8732827200206,57.9636600354516,57.5103290023965,98.03977836913798,119.63684443057062,145.14759332158545,340.7309951028348,15.719719028231964,25.872073030531144,12.499246392057891,7.939788092081665,9.288291256628334,8.560796635427803,0.3403111267655356,0.060343853366692526,22.965408597896744,96.6254825667858,5.701005915387567
min,0.0,0.0,0.0,0.0,0.0,0.0,83.6,0.2,0.054,0.686,0.301,0.171,0.0,-6.7,0.0,0.0,9.0,0.0,0.0
25%,5.0,0.0,0.0,0.0,228.0,0.0,471.744,0.8,13.783,25.538249999999998,9.6845,5.4952499999999995,10.55975,10.1,0.0,0.0,42.0,41.0,3.9
50%,11.0,114.752,103.75200000000001,116.512,243.6,220.8,497.68,290.225,21.79,41.686499999999995,14.446,8.564,17.0835,16.5,0.0,0.0,62.0,76.0,7.0
75%,17.0,123.376,117.04,123.376,248.0,246.4,712.2660000000001,485.88625,31.70475,61.8325,21.051000000000002,12.799,25.21525,22.4,0.0,0.0,81.0,203.0,12.3
max,23.0,143.616,135.0,137.0,255.6,310.4,854.912,2943.98,167.407,155.227,234.548,89.64,121.484,39.8,12.2,2.87,100.0,359.0,30.5
