datetime,date,hour_sin,hour_cos,month_sin,month_cos,pollution_stagnation_index,wind_x_vector,wind_y_vector,total_generation_mw,temperature_2m (°C),rain (mm),snowfall (cm),relative_humidity_2m (%),wind_direction_10m (°),wind_speed_10m (km/h),pm25
2023-08-18 09:00:00,2023-08-18,0.9967041473343766,-1.0080422127217523,-1.0552271072283872,-0.1852944192737363,-0.3780616378357202,0.6879056793231747,0.2727415413842894,-0.4622384023610785,0.872547554562425,-0.1649854657346476,-0.0457414303675107,0.2588787071371073,-0.9852274001686888,-0.0729188140809758,0.8313567668390154
2023-08-18 14:00:00,2023-08-18,-0.7139151063454715,-1.2323419483616005,-1.0552271072283872,-0.1852944192737363,-0.4084519069176784,0.741730154634743,0.5143784198569319,-0.3314145162167385,1.7363543600599998,-0.1649854657346476,-0.0457414303675107,-1.09113060723779,-0.9127752199806338,0.1199475380751147,-0.2699482928140909
2023-08-24 21:00:00,2023-08-24,-1.0074109701638505,0.9879965333552064,-1.0552271072283872,-0.1852944192737363,-0.4084136355900099,0.3260412569415886,0.4965347677667438,-1.2816090576861552,0.6974515804750787,-0.1649854657346476,-0.0457414303675107,0.389524769818549,-0.7575205481490872,-0.318385080461455,0.0635898109665642
2023-08-25 00:00:00,2023-08-25,-0.0053534114147367,1.4013896931788383,-1.0552271072283872,-0.1852944192737363,-0.3423327210378019,0.1429877843505942,0.4439821279229388,-1.2678381223025406,0.370605762178699,-0.1649854657346476,-0.0457414303675107,1.0427550832257573,-0.6643677450501592,-0.5112514326175456,1.0830836376168682
2023-08-25 01:00:00,2023-08-25,0.3614251111416562,1.3532969773563088,-1.0552271072283872,-0.1852944192737363,-0.2863655906076255,0.1814328795922176,0.2619879891364943,-1.2678381223025406,0.3472596323003862,-0.1649854657346476,-0.0457414303675107,1.086303770786238,-0.7678708596045236,-0.6339845658077852,1.0012724046140662
2023-08-25 03:00:00,2023-08-25,0.9967041473343766,0.9879965333552068,-1.0552271072283872,-0.1852944192737363,3.582949052552184,-0.1822116364469408,-0.3297077251366159,-1.3091509284533849,0.4056249569961683,-0.1649854657346476,-0.0457414303675107,0.9992063956652768,-1.264685809465473,-1.4054499744321476,0.8124772515306766
2023-08-25 06:00:00,2023-08-25,1.4117699784467337,-0.0100228396832727,-1.0552271072283872,-0.1852944192737363,-0.2699862434130063,0.0482025508293216,0.3231454199427312,-1.336692799220614,0.1371444633955706,-0.1649854657346476,-0.0457414303675107,1.4782419588305629,-0.6333168106838498,-0.6865844800321734,1.0327382634612978
2023-08-25 07:00:00,2023-08-25,1.3634826698907698,-0.3753232836843744,-1.0552271072283872,-0.1852944192737363,-0.1959455761223136,0.0481002575412582,0.2066104917047353,-1.3160363961451922,0.3589326972395428,-0.1649854657346476,-0.0457414303675107,1.1298524583467184,-0.685068367961032,-0.7917843084809502,1.0516177787696366
2023-08-25 09:00:00,2023-08-25,0.9967041473343766,-1.0080422127217523,-1.0552271072283872,-0.1852944192737363,-0.0728552735413154,0.1347968630209625,-0.5706874317449782,-1.2816090576861552,0.9892782039539892,-0.1649854657346476,-0.0457414303675107,0.0411352693347045,2.1819679051948637,-0.9145174416711896,0.7935977362223373
2023-08-25 10:00:00,2023-08-25,0.7032082835159983,-1.2323419483616,-1.0552271072283872,-0.1852944192737363,-0.3108622726175446,0.4126915446557966,-0.3297077251366159,-1.3091509284533849,1.2811048274328996,-0.1649854657346476,-0.0457414303675107,-0.6120950440725038,-1.264685809465473,-0.5989179563248596,0.6929069879111963
