model,evaluation_strategy,MAE,RMSE,R2,MAPE_pct,SMAPE_pct
LightGBM Improved,TimeSeriesSplit CV mean,2.0827,3.2537,0.7454,20.78,19.9
CatBoost,Chronological holdout test,2.691818781470201,4.3210347156378575,0.8147474543448939,23.48604068314803,21.53820585772089
SARIMAX,Chronological holdout test,3.112524813804714,4.765372988305577,0.7747879766982697,28.010133345110034,25.46970645722307
