metric,phase2_catboost,phase3_tuned_catboost,absolute_improvement,relative_improvement_pct,direction
MAE,2.691818781470201,2.6794174544321403,0.012401327038060739,0.46070438037762185,lower is better
RMSE,4.3210347156378575,4.300208620236619,0.020826095401238476,0.48197010141734525,lower is better
R2,0.8147474543448939,0.8165288747819193,0.0017814204370253384,0.21864694728720666,higher is better
MAPE_pct,23.48604068314803,23.360313537942545,0.12572714520548445,0.5353271200611418,lower is better
SMAPE_pct,21.53820585772089,21.465331820660136,0.07287403706075324,0.33834775998591254,lower is better
