candidate,depth,learning_rate,l2_leaf_reg,best_iteration,validation_RMSE,test_RMSE,test_R2
strong_regularized_depth6,6,0.02,10,1137,1.9457960985952485,4.300208620236619,0.8165288747819193
best_validation_candidate,5,0.015,12,1499,1.949362780706689,4.28647495961724,0.8176989140677027
phase2_reference,6,0.03,3,595,1.952003359558916,4.3210347156378575,0.814747454344894
slow_regularized_depth5,5,0.02,7,1155,1.9527275039404748,4.30264887889138,0.8163205853361044
regularized_depth5,5,0.025,5,899,1.9529551170050763,4.353107861199062,0.8119871511682013
compact_depth4,4,0.03,5,897,1.96838801464742,4.350658341242293,0.8121986835562629
compact_strong_regularization,4,0.02,10,1193,1.970254349222644,4.328232094009368,0.8141298045488632
